,x1,y1,x2,y2
2659,1292,380,1127.44,443.08
1284,204,456,274.04,477.28
1019,748,304,597.04,289.56
888,408,684,526.32,617.88
1179,204,76,375.36,78.28
2219,1224,456,1122.68,453.72
271,1292,76,1266.16,129.96
145,1292,456,1234.88,440.8
1323,0,608,819.4,561.64
1347,204,684,263.16,611.8
1317,1020,532,1105.0,542.64
2790,272,76,329.12,73.72
1425,1224,76,1207.68,119.32
1921,884,228,875.16,295.64
30,612,76,408.68,71.44
2450,1292,456,1234.2,514.52
2940,476,608,459.0,612.56
406,476,608,399.84,605.72
2647,476,380,384.88,415.72
2866,1156,304,1012.52,332.88
2626,476,304,341.36,535.04
2363,1088,152,1117.24,159.6
2832,272,228,357.0,214.32
1830,340,760,271.32,597.36
2930,1224,532,1177.76,504.64
2688,408,532,427.72,539.6
2703,0,608,223.72,546.44
1055,340,456,320.96,404.32
369,816,456,713.32,473.48
124,1292,380,1267.52,360.24
1309,476,532,351.56,543.4
1776,952,532,599.76,608.0
474,816,0,735.76,13.68
2750,340,760,356.32,746.32
282,612,152,507.28,234.08
2798,816,76,605.88,81.32
303,612,228,424.32,231.8
708,1020,0,871.08,10.64
386,544,532,463.08,576.84
2232,680,532,550.12,516.8
2810,204,152,282.2,168.72
2763,1224,760,971.04,603.44
1970,1360,380,1094.12,484.12
1142,544,760,473.96,758.48
558,816,304,819.4,278.92
816,1224,380,1087.32,425.6
459,1224,760,1140.36,696.92
840,0,532,609.96,421.8
737,136,152,621.52,125.4
2967,884,684,779.96,427.12
66,204,228,272.68,222.68
2847,1292,228,871.08,390.64
726,816,76,754.12,122.36
2664,204,456,284.24,431.68
1864,1292,0,858.16,74.48
1584,612,684,475.32,633.84
2389,0,304,490.28,228.76
2606,544,228,263.16,221.92
134,544,456,414.12,510.72
2271,476,684,442.0,677.92
1515,204,456,212.84,358.72
2049,1020,684,957.44,642.2
2907,1088,456,1004.36,373.16
2435,272,456,246.84,429.4
919,1088,760,964.24,737.2
782,340,304,346.8,274.36
1715,1088,304,1071.68,367.84
2032,1292,608,992.12,568.48
319,272,304,289.68,294.88
2404,1020,304,1082.56,350.36
1923,1020,228,994.84,271.32
2258,1020,608,820.08,617.12
2736,816,684,733.04,683.24
139,884,456,873.8,482.6
633,204,608,283.56,519.08
622,884,532,628.32,516.8
1619,272,0,310.76,181.64
2793,476,76,421.6,64.6
1969,1292,380,1045.16,513.0
2605,476,228,291.72,241.68
2644,272,380,335.24,427.12
341,340,380,306.0,367.84
2281,1156,684,947.92,706.8
1385,1360,760,1140.36,579.88
1893,408,152,379.44,147.44
1801,1224,608,1121.32,619.4
490,476,76,280.84,104.88
1747,408,456,335.24,452.2
2658,1224,380,1090.72,430.16
1205,544,152,399.16,200.64
2212,748,456,416.84,490.96
156,612,532,486.2,560.88
1197,0,152,920.72,95.0
807,612,380,512.04,448.4
2554,1292,0,1153.96,62.32
2302,1156,760,953.36,484.12
2137,1360,152,1194.76,213.56
990,204,228,297.16,236.36
2484,748,608,575.96,674.88
123,1224,380,1258.0,357.2
1701,136,304,280.16,296.4
2597,1360,152,1183.88,142.88
1383,1224,760,1060.8,732.64
2641,68,380,295.8,493.24
2673,816,456,635.8,389.88
2209,544,456,418.2,483.36
