,x1,y1,x2,y2
1988,1156,456,1218.8706,355.0617
2043,612,684,517.4381,674.3828
1371,408,760,403.66144,699.8649
1052,136,456,304.90698,586.4536
1537,272,532,307.32062,502.82953
1834,612,760,726.8944,728.2149
2129,816,152,820.6911,113.77688
1613,1224,760,1005.0156,650.45526
1384,1292,760,1237.379,740.9733
1957,476,380,371.76807,309.36423
409,680,608,474.59656,636.50397
24,204,76,266.33722,-10.989239
2989,952,760,904.495,708.1506
1829,272,760,67.53413,634.8852
730,1088,76,761.5733,135.61903
1636,0,76,501.86227,633.34357
199,680,684,734.34485,694.3186
1073,136,532,219.2842,526.45245
2062,476,760,658.32104,362.51083
394,1088,532,1040.6649,457.59756
2452,0,532,479.23358,565.8723
1838,884,760,1065.0708,518.7175
2380,816,228,377.3202,229.48337
1912,272,228,263.29767,251.07974
2839,748,228,840.607,199.71835
1338,1020,608,1093.1748,574.4498
300,408,228,365.48163,231.10852
2979,272,760,313.8608,726.82965
2064,612,760,449.85257,569.8071
1014,408,304,424.30447,332.18365
2204,204,456,342.6961,512.3582
2020,476,608,248.88008,617.0764
257,340,76,362.81897,72.86793
283,680,152,615.98224,250.1244
1695,1156,228,953.8022,163.76538
70,476,228,296.8633,251.04878
799,68,380,306.67148,553.48267
252,0,76,781.0509,-1.0061144
2241,1292,532,697.2662,674.8015
340,272,380,265.88538,308.45245
2759,952,760,979.20764,669.8074
1196,1360,76,934.9592,40.721085
2181,68,380,431.45013,432.27277
1501,680,380,468.64227,372.1596
2755,680,760,845.8968,662.7878
1518,408,456,410.93253,278.73477
1239,0,304,900.73157,262.92886
2174,1020,304,939.92926,318.1097
2604,408,228,287.42178,184.3221
1460,748,228,645.53723,343.2022
827,544,456,541.5973,503.1488
239,544,0,409.1806,-34.796597
1081,680,532,626.8935,418.78735
2027,952,608,1099.8527,606.10944
38,1156,76,1244.498,131.52034
489,408,76,200.31236,134.79306
814,1088,380,947.6917,361.62527
960,1020,76,674.2466,116.57218
1908,0,228,709.3958,221.61832
829,680,456,497.3846,458.4891
2150,816,228,793.14014,224.3987
1605,680,760,635.7457,775.3293
685,884,760,867.7724,721.6896
1092,0,608,778.04364,453.0432
2481,544,608,294.63797,666.00336
255,204,76,173.18512,55.989475
2060,340,760,258.09332,418.10947
1220,136,228,406.9421,212.10526
383,340,532,322.71082,531.13336
2636,1156,304,991.00464,299.10788
221,748,760,622.2411,765.61865
375,1224,456,1157.3895,562.94696
2537,136,0,252.86812,335.32556
48,408,152,499.95102,178.32584
2288,204,760,367.0369,712.8766
966,0,152,942.8211,27.031307
1207,680,152,724.30554,233.2913
1240,68,304,219.16444,333.97263
838,1292,456,1098.966,447.77832
1262,136,380,429.78152,494.73642
108,204,380,321.18826,413.4547
2456,272,532,288.84256,529.3477
1795,816,608,838.82526,436.54398
131,340,456,272.50037,493.2477
1477,476,304,373.73572,327.49173
1234,1088,228,955.03705,282.99765
1693,1020,228,883.8348,248.31088
